,event_id_cnty,event_date,year,time_precision,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,admin1,admin2,admin3,location,latitude,longitude,geo_precision,fatalities,tags,population_best,civilian_targeting_dummy
1126,UKR235222,2022-10-15,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Bashtanskyi,Bashtanska,Bashtanka,47.4072,32.4387,2,0,,15510.0,0
1127,UKR77284,2022-10-16,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-) Air Force,,State forces,State forces-External/Other forces,,Donetsk,Volnovaskyi,Velykonovosilkivska,Novosilka,47.8355,36.6894,1,0,,52.0,0
1128,UKR77883,2022-10-16,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Kupianska,Kupiansk,49.7106,37.6152,2,0,,29293.0,0
1129,UKR77885,2022-10-17,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kharkiv,Kupianskyi,Kupianska,Kupiansk,49.7106,37.6152,2,0,,29293.0,0
1130,UKR77632,2022-10-19,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Shevchenkivska,Liubomyrivka,46.885,32.374,2,0,,549.0,0
1131,UKR77619,2022-10-19,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),Military Forces of Ukraine (2019-) Air Force,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Velykooleksandrivska,Tryfonivka,47.2533,33.5138,2,4,,948.0,0
1132,UKR77713,2022-10-20,2022,1,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Khersonskyi,Khersonska,Kherson,46.6558,32.6178,3,28,,117180.0,0
1133,UKR77729,2022-10-20,2022,1,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Mykolaiv,Mykolaivskyi,Mykolaivska,Mykolaiv,46.9672,32.0183,1,0,,123058.0,0
1134,UKR78691,2022-10-21,2022,1,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,Kherson,Beryslavskyi,Velykooleksandrivska,Tryfonivka,47.2533,33.5138,1,0,,948.0,0
1135,UKR235219,2022-10-22,2022,1,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,Kherson,Kakhovskyi,Kakhovska,Kakhovka,46.8137,33.487,2,0,,20083.0,0
